Monthly income,Gender,Earning individual,Responsibility,Mode of income,Network degree,Marriage status,Risk apetite,Location,Age,SIP,AUM,Redemption amount,Redemption count,Months,Cumulative AUM,% Cumulative AUM,AUM/Months,Monthly AUM,Number,Cumulative months,Months moving average
50000-199999,M,Self,Yes,Salaried,3rd,Married,Aggresive,other,35,9500,191807.23,12816.8,3,31,81705814.54,87.84%,6187.33,6600.775161,109,6346,58.22339957
0-49999,F,Alias,No,Salaried,3rd,Married,Conservative,Nagpur,70,0,187842.02,0,0,49,81893656.56,88.04%,3838.13522,3838.13522,110,6395,58.13901375
0-49999,F,Self,Yes,Salaried,2nd,Married,Moderate,Nagpur,39,5000,186977.72,0,0,10,82080634.28,88.24%,18697.772,18697.772,111,6405,57.70532895
0-49999,F,Alias,Yes,Salaried,1st,Married,Moderate,Nagpur,52,3000,186718.06,0,0,47,82267352.34,88.44%,3972.724681,3972.724681,112,6452,57.60974565
0-49999,F,Self,No,Salaried,1st,Married,Aggresive,Nagpur,26,12000,186329.62,0,0,18,82453681.96,88.64%,10351.64556,10351.64556,113,6470,57.25921693
50000-199999,F,Self,Yes,Business,1st,Married,Moderate,Nagpur,51,20000,186287.24,0,0,6,82639969.2,88.84%,31047.87333,31047.87333,114,6476,56.80957467
50000-199999,M,Self,Yes,Business,1st,Married,Moderate,other,44,2000,184993.2,145001.55,5,85,82824962.4,89.04%,2176.390588,3882.291176,115,6561,57.05470881
0-49999,M,Self,Yes,Salaried,2nd,Married,Moderate,other,37,1000,181802.7,0,0,84,83006765.1,89.23%,2164.317857,2164.317857,116,6645,57.2869958
0-49999,M,Self,Yes,Business,3rd,Single,Moderate,Nagpur,40,6500,181670.08,48864.04,2,38,83188435.18,89.43%,4780.791579,6066.687368,117,6683,57.12214968
50000-199999,F,Self,Yes,Salaried,2nd,Married,Moderate,Nagpur,27,1000,181389.7,54711.95,1,91,83369824.88,89.63%,1993.293407,2594.523626,118,6774,57.40925011
0-49999,F,Alias,Yes,Salaried,3rd,Married,Moderate,Nagpur,45,2000,175591.25,0,0,22,83545416.13,89.81%,7981.420455,7981.420455,119,6796,57.11169339
50000-199999,M,Self,Yes,Business,1st,Married,Moderate,Nagpur,43,4500,168967.91,100000,1,71,83714384.04,90.00%,2379.829718,3788.280423,120,6867,57.22742927
50000-199999,M,Self,Yes,Business,1st,Married,Aggresive,other,29,10000,164856.97,0,0,23,83879241.01,90.17%,7167.694348,7167.694348,121,6890,56.94455796
0-49999,F,Alias,Yes,Salaried,2nd,Married,Moderate,Nagpur,41,8000,161368.88,358137.96,11,73,84040609.89,90.35%,2210.532603,7116.532055,122,6963,57.07615994
50000-199999,F,Self,Yes,Business,2nd,Married,Aggresive,Nagpur,45,1000,158282.24,0,0,90,84198892.13,90.52%,1758.691556,1758.691556,123,7053,57.34383344
50000-199999,M,Self,Yes,Salaried,1st,Married,Moderate,Nagpur,55,2500,155462.39,163972.1,4,91,84354354.52,90.68%,1708.377912,3510.269121,124,7144,57.61525414
0-49999,F,Self,Yes,Salaried,2nd,Married,Moderate,Nagpur,31,1500,154840.14,0,0,23,84509194.66,90.85%,6732.18,6732.18,125,7167,57.3383321
0-49999,F,Self,No,Business,1st,Married,Moderate,other,29,5000,151428.27,0,0,35,84660622.93,91.01%,4326.522,4326.522,126,7202,57.16104375
50000-199999,M,Self,Yes,Business,2nd,Married,Moderate,Nagpur,38,2000,149864.55,0,0,39,84810487.48,91.17%,3842.680769,3842.680769,127,7241,57.01804341
50000-199999,M,Self,Yes,Salaried,1st,Married,Moderate,other,35,1000,149357.09,84759.66,1,78,84959844.57,91.33%,1914.834487,3001.496795,128,7319,57.18196494
50000-199999,M,Self,Yes,Business,1st,Married,Moderate,Nagpur,38,0,148471.28,0,0,92,85108315.85,91.49%,1613.818261,1613.818261,129,7411,57.45187219
50000-199999,F,Self,No,Business,2nd,Married,Moderate,Nagpur,29,9000,144910.77,0,0,7,85253226.62,91.65%,20701.53857,20701.53857,130,7418,57.06378087
50000-199999,M,Self,Yes,Business,2nd,Single,Moderate,Nagpur,44,0,144082.45,0,0,91,85397309.07,91.80%,1583.323626,1583.323626,131,7509,57.32283598
0-49999,F,Self,Yes,Business,1st,Married,Moderate,other,39,0,144044.86,0,0,49,85541353.93,91.96%,2943.237357,2943.237357,132,7558,57.25933691
50000-199999,M,Self,Yes,Business,1st,Single,Aggresive,Nagpur,27,0,142318.71,0,0,49,85683672.64,92.11%,2907.967308,2907.967308,133,7607,57.19679272
50000-199999,M,Self,Yes,Business,1st,Married,Moderate,Nagpur,52,0,140812.76,456000,7,91,85824485.4,92.26%,1547.392967,6558.381978,134,7698,57.44905546
0-49999,M,Self,Yes,Salaried,2nd,Married,Moderate,Nagpur,35,2000,139130.5,0,0,50,85963615.9,92.41%,2782.61,2782.61,135,7748,57.39387727
50000-199999,M,Self,Yes,Business,1st,Married,Moderate,Nagpur,47,5000,137117.04,0,0,25,86100732.94,92.56%,5484.6816,5484.6816,136,7773,57.155687
0-49999,F,Self,Yes,Business,1st,Married,Moderate,Nagpur,32,0,135756.74,104000,25,69,86236489.68,92.71%,1967.488986,3474.735362,137,7842,57.24214184
